,Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
624,QC Officer ,Lakshmi-Machine-Works,1-6yrs  ,"3,60,916",1.6,5.1,3.8,448
625,Scientist 1 ,Lakshmi-Machine-Works,2-6yrs  ,"4,85,562",2.5,6.5,3.8,448
626,Deputy Manager ,Lakshmi-Machine-Works,8-16yrs  ,"2,57,623",1.8,3.5,3.8,448
627,Junior Production Officer ,Lakshmi-Machine-Works,1-3yrs  ,"3,61,199",10.0,6.3,3.8,448
628,Process Engineer ,Lakshmi-Machine-Works,1-7yrs  ,"3,69,560",1.5,7.0,3.8,448
629,EHS Officer ,Lakshmi-Machine-Works,1-7yrs  ,"13,09,657",9.0,16.0,3.8,448
630,Officer ,Medlife,1-7yrs  ,"3,04,651",1.7,4.4,3.9,442
631,Junior Officer ,Medlife,1-5yrs  ,"2,52,716",20.0,5.0,3.9,442
632,Production Officer ,Medlife,1-6yrs  ,"2,99,740",1.8,5.0,3.9,442
633,Executive Production ,Medlife,5-13yrs  ,"4,39,307",2.0,7.0,3.9,442
634,QC Officer ,Medlife,1-6yrs  ,"3,62,521",1.8,5.0,3.9,442
635,Scientist 1 ,Medlife,2-6yrs  ,"2,97,194",2.2,4.2,3.9,442
636,Deputy Manager ,Medlife,8-16yrs  ,"2,75,671",1.8,4.0,3.9,442
637,Junior Production Officer ,Medlife,1-3yrs  ,"3,37,917",2.3,4.5,3.9,442
638,Process Engineer ,Medlife,1-7yrs  ,"2,38,039",15.0,3.2,3.9,442
639,EHS Officer ,Medlife,1-7yrs  ,"3,00,208",2.3,4.4,3.9,442
640,Officer ,Timken,1-7yrs  ,"4,02,439",2.0,6.6,4.0,437
641,Junior Officer ,Timken,1-5yrs  ,"2,43,909",1.7,3.2,4.0,437
642,Production Officer ,Timken,1-6yrs  ,"5,50,410",3.9,7.3,4.0,437
643,Executive Production ,Timken,5-13yrs  ,"3,57,831",1.6,6.5,4.0,437
644,QC Officer ,Timken,1-6yrs  ,"8,65,729",4.8,12.4,4.0,437
645,Scientist 1 ,Timken,2-6yrs  ,"5,74,622",3.4,9.9,4.0,437
646,Deputy Manager ,Timken,8-16yrs  ,"7,41,294",6.0,9.6,4.0,437
647,Junior Production Officer ,Timken,1-3yrs  ,"1,99,264",20.0,3.1,4.0,437
648,Process Engineer ,Timken,1-7yrs  ,"1,44,605",1.1,3.0,4.0,437
649,EHS Officer ,Timken,1-7yrs  ,"6,60,880",4.5,10.0,4.0,437
650,Officer ,Test-Yantra-Software-Solutions,1-7yrs  ,"6,03,122",15.0,43.0,4.1,431
651,Junior Officer ,Test-Yantra-Software-Solutions,1-5yrs  ,"4,18,762",2.3,7.0,4.1,431
652,Production Officer ,Test-Yantra-Software-Solutions,1-6yrs  ,"3,53,319",2.4,5.5,4.1,431
653,Executive Production ,Test-Yantra-Software-Solutions,5-13yrs  ,"4,51,519",2.0,12.0,4.1,431
654,QC Officer ,Test-Yantra-Software-Solutions,1-6yrs  ,"4,99,521",2.4,10.2,4.1,431
655,Scientist 1 ,Test-Yantra-Software-Solutions,2-6yrs  ,"3,80,346",3.0,7.5,4.1,431
656,Deputy Manager ,Test-Yantra-Software-Solutions,8-16yrs  ,"4,11,252",2.4,9.5,4.1,431
657,Junior Production Officer ,Test-Yantra-Software-Solutions,1-3yrs  ,"4,83,399",2.1,13.0,4.1,431
658,Process Engineer ,Test-Yantra-Software-Solutions,1-7yrs  ,"4,09,449",2.5,6.0,4.1,431
659,EHS Officer ,Test-Yantra-Software-Solutions,1-7yrs  ,"24,95,657",11.0,44.0,4.1,431
660,Officer ,General-Mills,1-7yrs  ,"6,44,204",4.5,8.5,4.2,426
661,Junior Officer ,General-Mills,1-5yrs  ,"4,01,114",2.8,6.1,4.2,426
662,Production Officer ,General-Mills,1-6yrs  ,"8,68,098",4.8,12.0,4.2,426
663,Executive Production ,General-Mills,5-13yrs  ,"10,34,875",5.0,15.3,4.2,426
664,QC Officer ,General-Mills,1-6yrs  ,"14,01,160",7.2,20.0,4.2,426
665,Scientist 1 ,General-Mills,2-6yrs  ,"4,29,684",2.4,6.1,4.2,426
666,Deputy Manager ,General-Mills,8-16yrs  ,"9,85,214",6.0,13.0,4.2,426
667,Junior Production Officer ,General-Mills,1-3yrs  ,"10,84,292",7.4,16.3,4.2,426
668,Process Engineer ,General-Mills,1-7yrs  ,"7,09,895",4.0,10.3,4.2,426
669,EHS Officer ,General-Mills,1-7yrs  ,"6,40,853",4.6,8.0,4.2,426
670,Officer ,Rupeek,1-7yrs  ,"3,84,124",2.4,5.1,4.0,420
671,Junior Officer ,Rupeek,1-5yrs  ,"3,43,186",2.1,5.1,4.0,420
672,Production Officer ,Rupeek,1-6yrs  ,"3,45,339",2.1,4.8,4.0,420
673,Executive Production ,Rupeek,5-13yrs  ,"5,29,372",4.0,7.2,4.0,420
674,QC Officer ,Rupeek,1-6yrs  ,"3,03,043",2.0,4.0,4.0,420
675,Scientist 1 ,Rupeek,2-6yrs  ,"3,09,766",2.0,4.0,4.0,420
676,Deputy Manager ,Rupeek,8-16yrs  ,"11,41,977",7.0,15.0,4.0,420
677,Junior Production Officer ,Rupeek,1-3yrs  ,"3,59,085",3.0,4.1,4.0,420
678,Process Engineer ,Rupeek,1-7yrs  ,"3,80,519",3.0,4.8,4.0,420
679,EHS Officer ,Rupeek,1-7yrs  ,"2,80,231",2.4,3.3,4.0,420
680,Officer ,Kohler,1-7yrs  ,"15,86,444",6.0,20.0,3.8,414
681,Junior Officer ,Kohler,1-5yrs  ,"5,02,705",3.1,6.7,3.8,414
682,Production Officer ,Kohler,1-6yrs  ,"17,43,857",11.5,24.0,3.8,414
683,Executive Production ,Kohler,5-13yrs  ,"8,59,969",5.5,13.0,3.8,414
684,QC Officer ,Kohler,1-6yrs  ,"8,34,308",5.8,11.0,3.8,414
685,Scientist 1 ,Kohler,2-6yrs  ,"3,82,419",2.5,5.5,3.8,414
686,Deputy Manager ,Kohler,8-16yrs  ,"5,63,667",3.6,7.0,3.8,414
687,Junior Production Officer ,Kohler,1-3yrs  ,"5,61,258",3.0,7.5,3.8,414
688,Process Engineer ,Kohler,1-7yrs  ,"3,81,724",2.0,5.4,3.8,414
689,EHS Officer ,Kohler,1-7yrs  ,"27,72,317",22.5,34.0,3.8,414
690,Officer ,Artech-Infosystems,1-7yrs  ,"4,21,127",2.0,5.5,3.5,409
691,Junior Officer ,Artech-Infosystems,1-5yrs  ,"3,97,358",2.5,6.0,3.5,409
692,Production Officer ,Artech-Infosystems,1-6yrs  ,"5,08,754",3.5,7.0,3.5,409
693,Executive Production ,Artech-Infosystems,5-13yrs  ,"6,13,253",2.2,13.0,3.5,409
694,QC Officer ,Artech-Infosystems,1-6yrs  ,"3,22,327",2.1,4.5,3.5,409
695,Scientist 1 ,Artech-Infosystems,2-6yrs  ,"13,23,738",4.0,21.0,3.5,409
696,Deputy Manager ,Artech-Infosystems,8-16yrs  ,"4,62,806",2.5,6.5,3.5,409
697,Junior Production Officer ,Artech-Infosystems,1-3yrs  ,"2,83,036",2.1,5.0,3.5,409
698,Process Engineer ,Artech-Infosystems,1-7yrs  ,"3,55,631",2.8,4.3,3.5,409
699,EHS Officer ,Artech-Infosystems,1-7yrs  ,"6,91,946",4.0,9.5,3.5,409
700,Officer ,Leadec-India,1-7yrs  ,"2,95,663",1.4,4.1,3.8,404
701,Junior Officer ,Leadec-India,1-5yrs  ,"3,32,871",2.2,4.2,3.8,404
702,Production Officer ,Leadec-India,1-6yrs  ,"4,95,903",2.9,6.8,3.8,404
703,Executive Production ,Leadec-India,5-13yrs  ,"3,61,216",2.3,4.8,3.8,404
704,QC Officer ,Leadec-India,1-6yrs  ,"3,31,639",2.0,4.4,3.8,404
705,Scientist 1 ,Leadec-India,2-6yrs  ,"2,78,377",1.7,3.8,3.8,404
706,Deputy Manager ,Leadec-India,8-16yrs  ,"3,54,833",2.4,5.3,3.8,404
707,Junior Production Officer ,Leadec-India,1-3yrs  ,"2,77,816",1.8,4.0,3.8,404
708,Process Engineer ,Leadec-India,1-7yrs  ,"4,50,584",3.0,6.0,3.8,404
709,EHS Officer ,Leadec-India,1-7yrs  ,"3,45,708",2.2,4.2,3.8,404
710,Officer ,Capital-Numbers-Infotech,1-7yrs  ,"6,11,810",2.3,15.0,3.8,399
711,Junior Officer ,Capital-Numbers-Infotech,1-5yrs  ,"7,94,992",2.9,12.0,3.8,399
712,Production Officer ,Capital-Numbers-Infotech,1-6yrs  ,"3,73,861",2.4,6.0,3.8,399
713,Executive Production ,Capital-Numbers-Infotech,5-13yrs  ,"3,23,833",1.8,5.0,3.8,399
714,QC Officer ,Capital-Numbers-Infotech,1-6yrs  ,"10,60,172",6.6,18.0,3.8,399
715,Scientist 1 ,Capital-Numbers-Infotech,2-6yrs  ,"4,94,045",3.6,6.8,3.8,399
716,Deputy Manager ,Capital-Numbers-Infotech,8-16yrs  ,"3,97,874",2.8,6.0,3.8,399
717,Junior Production Officer ,Capital-Numbers-Infotech,1-3yrs  ,"5,29,211",3.0,9.0,3.8,399
718,Process Engineer ,Capital-Numbers-Infotech,1-7yrs  ,"10,75,333",7.2,16.1,3.8,399
719,EHS Officer ,Capital-Numbers-Infotech,1-7yrs  ,"7,74,462",5.4,10.5,3.8,399
720,Officer ,DAV-Public-School,1-7yrs  ,"2,83,070",95.0,7.5,4.0,395
721,Junior Officer ,DAV-Public-School,1-5yrs  ,"2,90,045",10.0,6.4,4.0,395
722,Production Officer ,DAV-Public-School,1-6yrs  ,"2,61,525",1.2,4.3,4.0,395
723,Executive Production ,DAV-Public-School,5-13yrs  ,"3,07,732",1.2,6.0,4.0,395
724,QC Officer ,DAV-Public-School,1-6yrs  ,"8,59,363",5.4,15.1,4.0,395
725,Scientist 1 ,DAV-Public-School,2-6yrs  ,"2,71,176",1.2,7.0,4.0,395
726,Deputy Manager ,DAV-Public-School,8-16yrs  ,"12,52,596",6.6,18.0,4.0,395
727,Junior Production Officer ,DAV-Public-School,1-3yrs  ,"3,28,704",35.0,7.5,4.0,395
728,Process Engineer ,DAV-Public-School,1-7yrs  ,"2,61,689",1.4,3.9,4.0,395
729,EHS Officer ,DAV-Public-School,1-7yrs  ,"3,88,620",1.9,6.0,4.0,395
730,Officer ,Aspire-Systems,1-7yrs  ,"6,03,258",3.0,11.0,4.2,390
731,Junior Officer ,Aspire-Systems,1-5yrs  ,"8,55,482",4.5,15.0,4.2,390
732,Production Officer ,Aspire-Systems,1-6yrs  ,"8,94,101",4.7,13.0,4.2,390
733,Executive Production ,Aspire-Systems,5-13yrs  ,"13,64,323",7.5,20.0,4.2,390
734,QC Officer ,Aspire-Systems,1-6yrs  ,"4,77,545",3.0,9.0,4.2,390
735,Scientist 1 ,Aspire-Systems,2-6yrs  ,"12,45,025",8.0,17.0,4.2,390
736,Deputy Manager ,Aspire-Systems,8-16yrs  ,"8,39,741",4.0,16.0,4.2,390
737,Junior Production Officer ,Aspire-Systems,1-3yrs  ,"6,40,569",3.0,10.5,4.2,390
738,Process Engineer ,Aspire-Systems,1-7yrs  ,"8,29,973",5.5,11.0,4.2,390
739,EHS Officer ,Aspire-Systems,1-7yrs  ,"5,62,595",3.3,7.5,4.2,390
740,Officer ,Otis-Elevator,1-7yrs  ,"4,35,781",2.7,6.0,3.5,380
741,Junior Officer ,Otis-Elevator,1-5yrs  ,"3,90,421",70.0,9.5,3.5,380
742,Production Officer ,Otis-Elevator,1-6yrs  ,"6,17,029",3.0,9.2,3.5,380
743,Executive Production ,Otis-Elevator,5-13yrs  ,"3,25,569",35.0,10.1,3.5,380
744,QC Officer ,Otis-Elevator,1-6yrs  ,"4,81,226",1.4,7.6,3.5,380
745,Scientist 1 ,Otis-Elevator,2-6yrs  ,"7,07,461",3.6,9.5,3.5,380
746,Deputy Manager ,Otis-Elevator,8-16yrs  ,"5,81,972",4.1,7.5,3.5,380
747,Junior Production Officer ,Otis-Elevator,1-3yrs  ,"6,67,590",4.5,8.3,3.5,380
748,Process Engineer ,Otis-Elevator,1-7yrs  ,"7,77,835",5.4,11.4,3.5,380
749,EHS Officer ,Otis-Elevator,1-7yrs  ,"5,11,243",2.9,7.1,3.5,380
750,Officer ,More-Supermarket,1-7yrs  ,"4,26,558",2.5,6.1,3.8,376
751,Junior Officer ,More-Supermarket,1-5yrs  ,"4,23,941",2.3,5.8,3.8,376
752,Production Officer ,More-Supermarket,1-6yrs  ,"1,53,901",60.0,3.3,3.8,376
753,Executive Production ,More-Supermarket,5-13yrs  ,"3,14,687",2.1,4.9,3.8,376
754,QC Officer ,More-Supermarket,1-6yrs  ,"9,47,234",4.5,13.0,3.8,376
755,Scientist 1 ,More-Supermarket,2-6yrs  ,"2,25,071",1.1,3.6,3.8,376
756,Deputy Manager ,More-Supermarket,8-16yrs  ,"2,43,331",1.2,3.7,3.8,376
757,Junior Production Officer ,More-Supermarket,1-3yrs  ,"18,96,922",7.1,28.2,3.8,376
758,Process Engineer ,More-Supermarket,1-7yrs  ,"2,89,702",1.5,4.3,3.8,376
759,EHS Officer ,More-Supermarket,1-7yrs  ,"2,00,440",25.0,10.0,3.8,376
760,Officer ,Medusind-Solutions,1-7yrs  ,"2,78,745",1.4,4.8,3.5,373
761,Junior Officer ,Medusind-Solutions,1-5yrs  ,"3,43,493",1.7,4.5,3.5,373
762,Production Officer ,Medusind-Solutions,1-6yrs  ,"2,85,698",1.1,3.9,3.5,373
763,Executive Production ,Medusind-Solutions,5-13yrs  ,"4,10,475",1.0,6.5,3.5,373
764,QC Officer ,Medusind-Solutions,1-6yrs  ,"2,22,080",95.0,3.5,3.5,373
765,Scientist 1 ,Medusind-Solutions,2-6yrs  ,"2,63,369",1.8,3.5,3.5,373
766,Deputy Manager ,Medusind-Solutions,8-16yrs  ,"2,49,105",1.8,3.8,3.5,373
767,Junior Production Officer ,Medusind-Solutions,1-3yrs  ,"6,59,621",4.8,8.0,3.5,373
768,Process Engineer ,Medusind-Solutions,1-7yrs  ,"5,29,676",3.0,9.0,3.5,373
769,EHS Officer ,Medusind-Solutions,1-7yrs  ,"2,30,278",1.0,2.5,3.5,373
770,Officer ,Aparna-Constructions-and-Estates,1-7yrs  ,"4,09,171",2.2,5.0,3.1,368
771,Junior Officer ,Aparna-Constructions-and-Estates,1-5yrs  ,"4,05,457",2.5,5.4,3.1,368
772,Production Officer ,Aparna-Constructions-and-Estates,1-6yrs  ,"2,59,532",2.0,3.1,3.1,368
773,Executive Production ,Aparna-Constructions-and-Estates,5-13yrs  ,"3,15,388",2.0,4.2,3.1,368
774,QC Officer ,Aparna-Constructions-and-Estates,1-6yrs  ,"3,11,847",1.8,4.8,3.1,368
775,Scientist 1 ,Aparna-Constructions-and-Estates,2-6yrs  ,"3,64,303",2.4,5.0,3.1,368
776,Deputy Manager ,Aparna-Constructions-and-Estates,8-16yrs  ,"3,01,787",2.0,4.6,3.1,368
777,Junior Production Officer ,Aparna-Constructions-and-Estates,1-3yrs  ,"3,60,711",1.5,4.7,3.1,368
778,Process Engineer ,Aparna-Constructions-and-Estates,1-7yrs  ,"4,53,747",3.0,6.0,3.1,368
779,EHS Officer ,Aparna-Constructions-and-Estates,1-7yrs  ,"3,17,400",2.3,4.4,3.1,368
780,Officer ,IDFC-FIRST-Bharat,1-7yrs  ,"2,15,194",1.0,3.6,4.2,359
781,Junior Officer ,IDFC-FIRST-Bharat,1-5yrs  ,"4,66,069",2.8,6.8,4.2,359
782,Production Officer ,IDFC-FIRST-Bharat,1-6yrs  ,"2,28,965",95.0,3.4,4.2,359
783,Executive Production ,IDFC-FIRST-Bharat,5-13yrs  ,"2,34,224",1.5,3.2,4.2,359
784,QC Officer ,IDFC-FIRST-Bharat,1-6yrs  ,"3,88,523",2.2,7.3,4.2,359
785,Scientist 1 ,IDFC-FIRST-Bharat,2-6yrs  ,"4,72,540",3.0,7.5,4.2,359
786,Deputy Manager ,IDFC-FIRST-Bharat,8-16yrs  ,"2,32,790",1.3,5.0,4.2,359
787,Junior Production Officer ,IDFC-FIRST-Bharat,1-3yrs  ,"5,55,548",2.6,9.1,4.2,359
788,Process Engineer ,IDFC-FIRST-Bharat,1-7yrs  ,"3,90,652",2.4,5.2,4.2,359
789,EHS Officer ,IDFC-FIRST-Bharat,1-7yrs  ,"3,63,249",2.0,4.9,4.2,359
790,Officer ,Michelin,1-7yrs  ,"3,17,835",2.1,4.3,4.1,354
791,Junior Officer ,Michelin,1-5yrs  ,"13,05,251",9.9,16.4,4.1,354
792,Production Officer ,Michelin,1-6yrs  ,"3,56,645",2.3,4.8,4.1,354
793,Executive Production ,Michelin,5-13yrs  ,"3,45,266",2.5,4.5,4.1,354
794,QC Officer ,Michelin,1-6yrs  ,"9,48,474",6.2,14.0,4.1,354
795,Scientist 1 ,Michelin,2-6yrs  ,"5,35,484",4.2,6.4,4.1,354
796,Deputy Manager ,Michelin,8-16yrs  ,"15,48,485",12.1,19.0,4.1,354
797,Junior Production Officer ,Michelin,1-3yrs  ,"9,06,129",4.5,18.0,4.1,354
798,Process Engineer ,Michelin,1-7yrs  ,"12,24,974",9.0,16.0,4.1,354
799,EHS Officer ,Michelin,1-7yrs  ,"13,21,167",9.5,17.7,4.1,354
800,Officer ,ValueMomentum,1-7yrs  ,"13,45,345",4.4,22.0,4.0,349
801,Junior Officer ,ValueMomentum,1-5yrs  ,"6,40,944",3.0,15.0,4.0,349
802,Production Officer ,ValueMomentum,1-6yrs  ,"5,55,277",3.0,12.2,4.0,349
803,Executive Production ,ValueMomentum,5-13yrs  ,"20,81,310",8.0,30.0,4.0,349
804,QC Officer ,ValueMomentum,1-6yrs  ,"15,90,365",7.7,19.8,4.0,349
805,Scientist 1 ,ValueMomentum,2-6yrs  ,"11,88,888",4.5,18.0,4.0,349
806,Deputy Manager ,ValueMomentum,8-16yrs  ,"6,17,923",2.7,12.0,4.0,349
807,Junior Production Officer ,ValueMomentum,1-3yrs  ,"6,25,104",3.0,9.3,4.0,349
808,Process Engineer ,ValueMomentum,1-7yrs  ,"10,63,775",4.5,16.0,4.0,349
809,EHS Officer ,ValueMomentum,1-7yrs  ,"15,12,097",6.4,19.3,4.0,349
810,Officer ,Sanden-Vikas,1-7yrs  ,"2,43,608",1.2,3.6,3.7,345
811,Junior Officer ,Sanden-Vikas,1-5yrs  ,"2,79,852",1.3,4.9,3.7,345
812,Production Officer ,Sanden-Vikas,1-6yrs  ,"5,16,029",3.0,7.3,3.7,345
813,Executive Production ,Sanden-Vikas,5-13yrs  ,"2,61,625",15.0,5.0,3.7,345
814,QC Officer ,Sanden-Vikas,1-6yrs  ,"1,77,342",1.2,2.4,3.7,345
815,Scientist 1 ,Sanden-Vikas,2-6yrs  ,"1,82,834",1.2,2.5,3.7,345
816,Deputy Manager ,Sanden-Vikas,8-16yrs  ,"1,94,734",1.0,2.5,3.7,345
817,Junior Production Officer ,Sanden-Vikas,1-3yrs  ,"1,67,887",1.2,2.4,3.7,345
818,Process Engineer ,Sanden-Vikas,1-7yrs  ,"2,55,527",1.4,3.7,3.7,345
819,EHS Officer ,Sanden-Vikas,1-7yrs  ,"9,97,717",7.5,12.2,3.7,345
820,Officer ,Navayuga-Engineering-Company,1-7yrs  ,"3,58,449",1.8,6.5,4.2,340
821,Junior Officer ,Navayuga-Engineering-Company,1-5yrs  ,"3,53,911",2.0,6.0,4.2,340
822,Production Officer ,Navayuga-Engineering-Company,1-6yrs  ,"6,52,065",3.4,11.0,4.2,340
823,Executive Production ,Navayuga-Engineering-Company,5-13yrs  ,"2,34,436",1.5,3.2,4.2,340
824,QC Officer ,Navayuga-Engineering-Company,1-6yrs  ,"3,14,298",2.0,4.0,4.2,340
825,Scientist 1 ,Navayuga-Engineering-Company,2-6yrs  ,"3,65,425",2.1,7.2,4.2,340
826,Deputy Manager ,Navayuga-Engineering-Company,8-16yrs  ,"3,57,355",2.4,4.8,4.2,340
827,Junior Production Officer ,Navayuga-Engineering-Company,1-3yrs  ,"4,74,992",3.1,6.6,4.2,340
828,Process Engineer ,Navayuga-Engineering-Company,1-7yrs  ,"3,50,047",2.4,5.0,4.2,340
829,EHS Officer ,Navayuga-Engineering-Company,1-7yrs  ,"5,44,310",3.6,8.1,4.2,340
830,Officer ,Pristyn-Care,1-7yrs  ,"4,78,859",3.0,10.0,3.9,336
831,Junior Officer ,Pristyn-Care,1-5yrs  ,"6,34,204",4.0,9.0,3.9,336
832,Production Officer ,Pristyn-Care,1-6yrs  ,"13,38,512",9.5,17.0,3.9,336
833,Executive Production ,Pristyn-Care,5-13yrs  ,"5,09,552",3.4,6.8,3.9,336
834,QC Officer ,Pristyn-Care,1-6yrs  ,"3,89,702",3.2,4.5,3.9,336
835,Scientist 1 ,Pristyn-Care,2-6yrs  ,"9,68,124",7.0,12.7,3.9,336
836,Deputy Manager ,Pristyn-Care,8-16yrs  ,"8,06,061",5.3,12.2,3.9,336
837,Junior Production Officer ,Pristyn-Care,1-3yrs  ,"3,56,267",3.0,4.5,3.9,336
838,Process Engineer ,Pristyn-Care,1-7yrs  ,"4,48,103",3.8,5.5,3.9,336
839,EHS Officer ,Pristyn-Care,1-7yrs  ,"23,79,259",15.0,33.0,3.9,336
840,Officer ,Carnival-Cruise-Lines,1-7yrs  ,"5,14,458",40.0,10.9,3.7,333
841,Junior Officer ,Carnival-Cruise-Lines,1-5yrs  ,"8,11,406",30.0,15.5,3.7,333
842,Production Officer ,Carnival-Cruise-Lines,1-6yrs  ,"7,60,625",95.0,24.0,3.7,333
843,Executive Production ,Carnival-Cruise-Lines,5-13yrs  ,"4,65,041",10.0,9.7,3.7,333
844,QC Officer ,Carnival-Cruise-Lines,1-6yrs  ,"3,87,630",55.0,8.0,3.7,333
845,Scientist 1 ,Carnival-Cruise-Lines,2-6yrs  ,"6,46,000",90.0,11.2,3.7,333
846,Deputy Manager ,Carnival-Cruise-Lines,8-16yrs  ,"5,98,571",1.2,10.0,3.7,333
847,Junior Production Officer ,Carnival-Cruise-Lines,1-3yrs  ,"10,58,611",2.1,18.0,3.7,333
848,Process Engineer ,Carnival-Cruise-Lines,1-7yrs  ,"4,49,706",80.0,9.3,3.7,333
849,EHS Officer ,Carnival-Cruise-Lines,1-7yrs  ,"1,81,250",70.0,4.3,3.7,333
850,Officer ,Allscripts,1-7yrs  ,"9,86,149",4.9,16.0,3.6,330
851,Junior Officer ,Allscripts,1-5yrs  ,"15,43,899",9.1,20.0,3.6,330
852,Production Officer ,Allscripts,1-6yrs  ,"22,35,183",14.0,28.4,3.6,330
853,Executive Production ,Allscripts,5-13yrs  ,"9,71,235",4.5,13.0,3.6,330
854,QC Officer ,Allscripts,1-6yrs  ,"8,12,201",4.3,10.0,3.6,330
855,Scientist 1 ,Allscripts,2-6yrs  ,"6,46,112",3.0,9.3,3.6,330
856,Deputy Manager ,Allscripts,8-16yrs  ,"7,87,428",5.0,11.0,3.6,330
857,Junior Production Officer ,Allscripts,1-3yrs  ,"7,25,372",4.3,10.0,3.6,330
858,Process Engineer ,Allscripts,1-7yrs  ,"14,09,794",9.3,17.4,3.6,330
859,EHS Officer ,Allscripts,1-7yrs  ,"6,93,070",4.2,8.6,3.6,330
860,Officer ,Webhelp,1-7yrs  ,"3,89,438",2.1,5.1,4.0,326
861,Junior Officer ,Webhelp,1-5yrs  ,"3,59,106",2.5,5.0,4.0,326
862,Production Officer ,Webhelp,1-6yrs  ,"3,61,476",2.8,4.5,4.0,326
863,Executive Production ,Webhelp,5-13yrs  ,"6,38,123",4.0,8.3,4.0,326
864,QC Officer ,Webhelp,1-6yrs  ,"6,13,933",4.0,8.0,4.0,326
865,Scientist 1 ,Webhelp,2-6yrs  ,"5,15,744",3.4,7.0,4.0,326
866,Deputy Manager ,Webhelp,8-16yrs  ,"6,67,219",4.5,8.5,4.0,326
867,Junior Production Officer ,Webhelp,1-3yrs  ,"3,75,513",3.0,5.0,4.0,326
868,Process Engineer ,Webhelp,1-7yrs  ,"3,92,111",2.9,5.8,4.0,326
869,EHS Officer ,Webhelp,1-7yrs  ,"6,86,433",5.9,7.4,4.0,326
870,Officer ,Pacific-BPO,1-7yrs  ,"5,75,474",3.1,7.5,4.0,323
871,Junior Officer ,Pacific-BPO,1-5yrs  ,"4,80,676",3.3,6.0,4.0,323
872,Production Officer ,Pacific-BPO,1-6yrs  ,"6,42,872",4.0,8.0,4.0,323
873,Executive Production ,Pacific-BPO,5-13yrs  ,"3,65,373",2.0,5.8,4.0,323
874,QC Officer ,Pacific-BPO,1-6yrs  ,"3,12,110",1.8,4.2,4.0,323
875,Scientist 1 ,Pacific-BPO,2-6yrs  ,"4,79,581",3.4,6.0,4.0,323
876,Deputy Manager ,Pacific-BPO,8-16yrs  ,"3,26,413",1.8,4.3,4.0,323
877,Junior Production Officer ,Pacific-BPO,1-3yrs  ,"5,04,691",3.5,6.1,4.0,323
878,Process Engineer ,Pacific-BPO,1-7yrs  ,"4,67,589",3.4,5.7,4.0,323
879,EHS Officer ,Pacific-BPO,1-7yrs  ,"4,63,294",3.0,6.0,4.0,323
880,Officer ,SFO-Technologies,1-7yrs  ,"1,42,954",10.0,8.1,4.8,321
881,Junior Officer ,SFO-Technologies,1-5yrs  ,"3,40,850",1.3,5.2,4.8,321
882,Production Officer ,SFO-Technologies,1-6yrs  ,"6,44,672",3.9,8.4,4.8,321
883,Executive Production ,SFO-Technologies,5-13yrs  ,"3,51,208",1.8,6.0,4.8,321
884,QC Officer ,SFO-Technologies,1-6yrs  ,"3,15,595",1.0,5.3,4.8,321
885,Scientist 1 ,SFO-Technologies,2-6yrs  ,"6,58,594",3.8,13.5,4.8,321
886,Deputy Manager ,SFO-Technologies,8-16yrs  ,"1,81,694",10.0,3.3,4.8,321
887,Junior Production Officer ,SFO-Technologies,1-3yrs  ,"2,35,029",1.1,3.9,4.8,321
888,Process Engineer ,SFO-Technologies,1-7yrs  ,"2,70,674",1.5,4.0,4.8,321
889,EHS Officer ,SFO-Technologies,1-7yrs  ,"5,31,987",2.4,8.1,4.8,321
890,Officer ,LEAD-School,1-7yrs  ,"9,74,269",5.2,13.2,3.3,318
891,Junior Officer ,LEAD-School,1-5yrs  ,"10,30,532",6.2,14.0,3.3,318
892,Production Officer ,LEAD-School,1-6yrs  ,"11,02,931",7.8,13.2,3.3,318
893,Executive Production ,LEAD-School,5-13yrs  ,"8,72,305",6.6,11.0,3.3,318
894,QC Officer ,LEAD-School,1-6yrs  ,"9,43,825",5.0,12.3,3.3,318
895,Scientist 1 ,LEAD-School,2-6yrs  ,"8,59,879",4.8,11.3,3.3,318
896,Deputy Manager ,LEAD-School,8-16yrs  ,"16,14,850",10.0,22.5,3.3,318
897,Junior Production Officer ,LEAD-School,1-3yrs  ,"7,30,165",5.3,11.0,3.3,318
898,Process Engineer ,LEAD-School,1-7yrs  ,"7,65,375",5.5,10.0,3.3,318
899,EHS Officer ,LEAD-School,1-7yrs  ,"3,55,685",3.0,4.7,3.3,318
900,Officer ,Kalpataru-Group,1-7yrs  ,"6,98,894",3.8,9.6,3.8,315
901,Junior Officer ,Kalpataru-Group,1-5yrs  ,"4,75,219",3.0,7.0,3.8,315
902,Production Officer ,Kalpataru-Group,1-6yrs  ,"24,93,505",16.5,35.0,3.8,315
903,Executive Production ,Kalpataru-Group,5-13yrs  ,"4,15,561",2.8,6.0,3.8,315
904,QC Officer ,Kalpataru-Group,1-6yrs  ,"6,57,341",3.1,8.6,3.8,315
905,Scientist 1 ,Kalpataru-Group,2-6yrs  ,"4,63,613",2.6,6.7,3.8,315
906,Deputy Manager ,Kalpataru-Group,8-16yrs  ,"13,88,286",10.0,20.0,3.8,315
907,Junior Production Officer ,Kalpataru-Group,1-3yrs  ,"10,51,288",6.0,15.5,3.8,315
